keys,es,en,pt_BR,zh_CN,fr
FISH_TOY_DESC,Un juguete con forma de pez que ayudará a que los gatos de Aura entren en confianza.,A fish-shaped toy that will help Aura's cats gain confidence.,Um brinquedo no formato de peixe que ajudará os gatos de Aura a ganhar confiança.,一条鱼形玩具，能帮助奥拉的猫咪更快亲近人。,Un jouet en forme de poisson qui aide à gagner la confiance des chats d'Aura .
CAPEBLOOD_TITLE,Capa sangrienta,Bloody cape,Capa Sangrenta,血色披风,Cape Sanglante
CAPEBLOOD_DESC,Usa la sangre acumulada para reducir el daño. Pero impide recolectar sangre.,Uses accumulated blood to reduce damage but prevents collecting blood.,Use o sangue acumulado para reduzir o dano. Mas evita de coletar sangue.,消耗已积累的鲜血来减少伤害，但会阻止继续收集鲜血。,Utilise le sang accumulé pour réduire les dégâts. Mais empêche de collecter du sang.
WEIGHT_BOOTS_DESC,"Botas hechas completamente de hierro, son tan pesadas que reducen el impacto recibido y la velocidad al correr.",Boots made entirely of iron. They are so heavy that they reduce the impact received and speed when running.,"Botas feitas totalmente de ferro, elas são tão pesadas que reduzem o impacto recebido e a velocidade quando estiver correndo.",完全由铁制成的靴子。它们沉重无比，会降低受到的冲击，也会减慢奔跑速度。,"Bottes entièrement faites de fer, si lourdes qu'elles réduisent les dégâts reçus et la vitesse de course."
WEIGHT_BOOTS_TITLE,Botas pesadas,Heavy boots,Botas pesadas,重靴,Bottes Lourdes
SWIMSUIT_TITLE,Traje de baño,Swimsuit,Traje de banho,泳装,Maillot de Bain
SWIMSUIT_DESC,"Traje que no proporciona defensa o ataque, pero permite moverse velozmente en el agua.",Suit that does not provide defense or attack but allows you to move swiftly in the water.,"Traje que não provém defesa ou ataque, mas te permite mover-se mais rapidamente na água.",不提供防御或攻击力，但能让你在水中迅速移动的服装。,"Tenue qui ne fournit ni défense ni attaque, mais permet de se déplacer rapidement dans l'eau."
MAGIC_EARING_TITLE,Arete mágico,Magic earring,Brincos mágicos,魔法耳环,Boucle d'Oreille Magique
MAGIC_EARING_DESC,Reduce el gasto de maná de los circuitos elementales a la mitad.,Reduces the mana expenditure of elemental circuits by half.,Reduz pela metade o gasto de mana dos circuitos elementais.,使元素回路的法力消耗减半。,Réduit de moitié la consommation de mana des circuits élémentaires.
BRACELETNONEG_TITLE,Brazalete Purificador,Purifying Bracelet,Bracelete Purificador,净化手镯,Brassard Purificateur
BRACELETNONEG_DESC,Accesorio que proporciona invulnerabilidad a estados negativos.,Accessory that provides invulnerability to negative states.,Acessório que provém invulnerabilidade aos status negativos.,可令佩戴者免疫负面状态的饰品。,Accessoire qui procure une invulnérabilité aux états négatifs.
GASMASKSULFUR_TITLE,Máscara de Gas,Gas mask,Máscara de Gás,防毒面具,Masque à Gaz
GASMASKSULFUR_DESC,"Máscara de gas que protege de gases como el Sulfuro de carbono, Dióxido de azufre y Cloro.","Gas mask that protects against gases such as Carbon Sulfide, Sulfur Dioxide, and Chlorine.","Máscara de gás que protege contra gases como Sulfeto de Carbono, Dióxido de Enxofre e Cloro.",能够防御二硫化碳、二氧化硫、氯气等气体的防毒面具。,"Masque à gaz qui protège contre des gaz comme le sulfure de carbone, le dioxyde de soufre et le chlore."
DEXTRGLOVES_TITLE,Traje de Belmondo,Belmondo's suit,Traje de Belmondo,贝尔蒙多之装,Tenue de Belmondo
DEXTRGLOVES_DESC,Otorga mayor destreza en el manejo del látigo. Permite cancelar el ataque al aterrizar.,Increases whip handling skill. Allows you to cancel the attack upon landing.,Aumenta a habilidade de manejo do chicote. Permite cancelar o ataque ao aterrissar.,提升挥鞭技巧，并允许你在落地时取消攻击动作。,Augmente la dextérité dans la manipulation du fouet. Permet d'annuler l'attaque en atterrissant.
HAIRPINRUBY_TITLE,Pasador Cabello,Hairpin,Grampo para cabelo,发簪,Épingle à Cheveux
HAIRPINRUBY_DESC,"Un hermoso adorno para cabello, adornado con un caro Rubí.",A beautiful hair ornament adorned with an expensive ruby.,"Um lindo ornamento de cabelo, decorado com um caro rubi.",一件美丽的发饰，上面镶嵌着昂贵的红宝石。,"Un bel ornements pour les cheveux, décoré avec un rubis précieux."
MASKCEREMONIAL_TITLE,Máscara antigua,Antique Mask,Máscara Antiga,古老面具,Masque Antique
MASKCEREMONIAL_DESC,Una máscara rota y oxidada que requiere una restauración.,A broken and rusty mask that needs restoration.,Uma máscara quebrada e enferrujas que precisa de restauração.,一副破损且锈蚀的面具，需要修复。,Un masque brisé et oxydé nécessitant une restauration.
SCOTTJACKET_TITLE,Chaqueta Scott,Scott Jacket,Jaqueta Scott,斯科特夹克,Veste Scott
SCOTTJACKET_DESC,Una prenda de piel tan gruesa que evita mordeduras de zombies.,Made of leather so thick that it prevents zombie bites.,Feita de um couro tão espesso que previne mordidas de zumbis.,皮革厚实到足以防止僵尸啃咬。,Une veste en peau si épaisse qu'elle protège des morsures de zombies.
HIGHHEELS_TITLE,Tacones elegantes,Elegant heels,Sapatos elegantes de salto alto,优雅高跟鞋,Talons Élégants
HIGHHEELS_DESC,Lo que una dama de alta sociedad luce en ocasiones especiales.,What a high society lady wears on special occasions.,O que uma senhorita da alta sociedade usa em ocasiões especiais.,上流社会淑女在特殊场合会穿的鞋子。,Ce que porte une dame de haute société lors d'occasions spéciales.
ACADEMICCAP_TITLE,Birrete,Square academic cap,Boné acadêmico,学位帽,Toque de Savant
ACADEMICCAP_DESC,Sombrero que aumenta experiencia obtenida al derrotar enemigos.,Hat that increases experience gained from defeating enemies.,Boné que aumenta a experiência ganha ao derrotar os inimigos.,可提升击败敌人后获得经验值的帽子。,Chapeau qui augmente l'expérience obtenue en battant des ennemis.
VAMPIRECOAT_TITLE,Capa vampírica,Vampiric cape,Capa Vampírica,吸血披风,Cape Vampirique
VAMPIRECOAT_DESC,Aumenta la sangre obtenida de enemigos.,Increases blood obtained from enemies.,Aumenta o sangue obtido dos inimigos.,增加从敌人身上获得的鲜血。,Augmente le sang obtenu des ennemis.
GOLDENRING_TITLE,Anillo de oro,Gold ring,Anel de ouro,金戒指,Anneau en Or
GOLDENRING_DESC,Accesorio que atrae la suerte de encontrar más dinero.,Accessory that brings the luck of finding more money.,Acessório que atrai sorte ao encontrar mais dinheiro.,能提升发现更多金钱运气的饰品。,Accessoire qui augmente les chances de trouver plus d'argent.
LUCKCHARM_TITLE,Amuleto de la suerte,Lucky charm,Amuleto da sorte,幸运护符,Amulette Porte-Bonheur
LUCKCHARM_DESC,Aumenta probabilidad del objeto más raro que un enemigo puede soltar.,Increases the probability of an enemy dropping their rarest item.,Aumenta a probabilidade de conseguir o item mais raro de um inimigo.,提高敌人掉落其最稀有物品的概率。,Augmente la probabilité que l'objet le plus rare puisse être lâché par un ennemi.
MAGICARMOR_TITLE,Armadura mágica,Magic armor,Armadura mágica,魔法铠甲,Armure Magique
MAGICARMOR_DESC,Usa la barra de maná como si fuera barra de vida.,Uses the mana bar as if it were a health bar.,Usa a barra de mana como se fosse a barra de vida.,将法力槽视作生命槽来使用。,Utilise la barre de mana comme si c'était une barre de vie.
SPIKEBOOTS_TITLE,Botas con púas,Spiked boots,Botas com pregos,钉刺靴,Bottes Cloutées
SPIKEBOOTS_DESC,Aumenta daño al hacer patadas.,Increases damage when kicking.,Aumenta o dano quando chuta.,提升踢击造成的伤害。,Augmente les dégâts infligés lors des coups de pied.
GLASSESOFFICE_TITLE,Lentes de oficina,Office glasses,Óculos de escritório,办公眼镜,Lunettes de Bureau
GLASSESOFFICE_DESC,Permite encontrar paredes que ocultan secretos.,Allows you to find walls that hide secrets.,Te permite encontrar paredes que escondem segredos.,让你能够发现隐藏秘密的墙壁。,Permet de repérer les murs qui cachent des secrets.
RISKRING_TITLE,Anillo sangrante,Bleeding ring,Anel de Sangramento,血痕戒指,Anneau Sanglant
RISKRING_DESC,"Al tener un solo punto de vida, aumenta a 15 el ATK e INT.",Having only one health point increases ATK and INT to 15.,Tenso apenas um único ponto de vida aumenta ATK e INT para 15.,当生命值仅剩 1 点时，ATK 与 INT 提升至 15。,"Quand vous n'avez qu'un seul point de vie, augmente l'ATK et l'INT de 15."
MASKSACRIFICE_TITLE,Máscara sacrificio,Sacrifice mask,Máscara de Sacrifício,牺牲面具,Masque de Sacrifice
MASKSACRIFICE_DESC,El enemigo derrotado dejará caer un orbe que recupera vida.,The defeated enemy will drop an orb that restores health.,Inimigo derrotado derrubará um orbe que recupera vida..,被击败的敌人会掉落一个恢复生命的光球。,L'ennemi vaincu laissera tomber une sphère qui restaure la vie.
DRACO_RING_DESC,Un valioso anillo que presenta a un dragón rodeando una piedra preciosa. Aumenta la cantidad de sangre recolectable.,A valuable ring featuring a dragon surrounding a precious stone. Increases the amount of blood that can be collected.,Um anel valioso com um dragão em volta de uma pedra preciosa. Aumenta a quantidade de sangue que pode ser coletada.,一枚珍贵的戒指，其上有巨龙盘绕着宝石。可增加能够收集的鲜血量。,"Un riche anneau représentant un dragon entourant une pierre précieuse.
Augmente la quantité de sang collecté."
